# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
Bulgaria,Seed,"US dollars, exchange rate converted",2013,0.0
Bulgaria,Seed,Percentage of GDP,2013,0.0
Croatia,Seed,Percentage of GDP,2007,0.0
Croatia,Seed,"US dollars, exchange rate converted",2007,0.0
Croatia,Seed,"US dollars, exchange rate converted",2008,0.0
Croatia,Seed,Percentage of GDP,2008,0.0
Croatia,Seed,Percentage of GDP,2009,0.0
Croatia,Seed,"US dollars, exchange rate converted",2009,0.0
Croatia,Seed,"US dollars, exchange rate converted",2010,0.0
Croatia,Seed,Percentage of GDP,2010,0.0
Croatia,Seed,Percentage of GDP,2011,0.0
Croatia,Seed,"US dollars, exchange rate converted",2011,0.0
Croatia,Seed,"US dollars, exchange rate converted",2012,0.0
Croatia,Seed,Percentage of GDP,2012,0.0
Croatia,Seed,Percentage of GDP,2013,0.0
Croatia,Seed,"US dollars, exchange rate converted",2013,0.0
Croatia,Seed,"US dollars, exchange rate converted",2014,0.0
Croatia,Seed,Percentage of GDP,2014,0.0
Croatia,Seed,Percentage of GDP,2015,0.0
Croatia,Seed,"US dollars, exchange rate converted",2015,0.0
Croatia,Seed,"US dollars, exchange rate converted",2016,0.0
Croatia,Seed,Percentage of GDP,2016,0.0
Croatia,Seed,Percentage of GDP,2017,0.0
Croatia,Seed,"US dollars, exchange rate converted",2017,0.0
Romania,Seed,"US dollars, exchange rate converted",2007,0.0
Romania,Seed,Percentage of GDP,2007,0.0
Romania,Seed,Percentage of GDP,2008,0.0
Romania,Seed,"US dollars, exchange rate converted",2008,0.0
Romania,Seed,"US dollars, exchange rate converted",2009,0.0
Romania,Seed,Percentage of GDP,2009,0.0
Romania,Seed,Percentage of GDP,2010,0.0
Romania,Seed,"US dollars, exchange rate converted",2010,0.0
Romania,Seed,"US dollars, exchange rate converted",2011,0.0
Romania,Seed,Percentage of GDP,2011,0.0
Romania,Seed,Percentage of GDP,2012,0.0
Romania,Seed,"US dollars, exchange rate converted",2012,0.0
Romania,Seed,"US dollars, exchange rate converted",2013,0.0
Romania,Seed,Percentage of GDP,2013,0.0
Romania,Seed,Percentage of GDP,2014,0.0
Romania,Seed,"US dollars, exchange rate converted",2014,0.0
Romania,Seed,Percentage of GDP,2016,0.0
Romania,Seed,"US dollars, exchange rate converted",2016,0.0
Romania,Seed,"US dollars, exchange rate converted",2017,0.0
Romania,Seed,Percentage of GDP,2017,0.0
Romania,Seed,Percentage of GDP,2018,0.0
Romania,Seed,"US dollars, exchange rate converted",2018,0.0
Czechia,Later stage venture,Percentage of GDP,2010,0.0
Czechia,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Czechia,Later stage venture,Percentage of GDP,2016,0.0
Czechia,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Czechia,Later stage venture,"US dollars, exchange rate converted",2017,0.0
Czechia,Later stage venture,Percentage of GDP,2017,0.0
Czechia,Later stage venture,Percentage of GDP,2018,0.0
Czechia,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Estonia,Later stage venture,"US dollars, exchange rate converted",2011,0.0
Estonia,Later stage venture,Percentage of GDP,2011,0.0
Greece,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Greece,Later stage venture,Percentage of GDP,2010,0.0
Greece,Later stage venture,"US dollars, exchange rate converted",2012,0.0
Greece,Later stage venture,Percentage of GDP,2012,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2009,0.0
Latvia,Later stage venture,Percentage of GDP,2009,0.0
Latvia,Later stage venture,Percentage of GDP,2010,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2017,0.0
Latvia,Later stage venture,Percentage of GDP,2017,0.0
Latvia,Later stage venture,Percentage of GDP,2018,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Latvia,Later stage venture,Percentage of GDP,2020,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2020,0.0
Lithuania,Later stage venture,Percentage of GDP,2010,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Lithuania,Later stage venture,Percentage of GDP,2012,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2012,0.0
Lithuania,Later stage venture,Percentage of GDP,2016,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Lithuania,Later stage venture,Percentage of GDP,2018,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2019,0.0
Lithuania,Later stage venture,Percentage of GDP,2019,0.0
Luxembourg,Later stage venture,"US dollars, exchange rate converted",2011,0.0
Luxembourg,Later stage venture,Percentage of GDP,2011,0.0
Luxembourg,Later stage venture,Percentage of GDP,2018,0.0
Luxembourg,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Luxembourg,Later stage venture,"US dollars, exchange rate converted",2019,0.0
Luxembourg,Later stage venture,Percentage of GDP,2019,0.0
Portugal,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Portugal,Later stage venture,Percentage of GDP,2016,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2007,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2007,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2008,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2008,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2009,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2009,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2011,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2011,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2012,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2012,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2013,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2013,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2016,0.0
Slovenia,Later stage venture,Percentage of GDP,2007,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2007,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2008,0.0
Slovenia,Later stage venture,Percentage of GDP,2008,0.0
Slovenia,Later stage venture,Percentage of GDP,2009,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2009,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Slovenia,Later stage venture,Percentage of GDP,2010,0.0
Slovenia,Later stage venture,Percentage of GDP,2019,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2019,0.0
Slovenia,Later stage venture,Percentage of GDP,2023,0.0
Slovenia,Later stage venture,"US dollars, exchange rate converted",2023,0.0
Bulgaria,Later stage venture,Percentage of GDP,2012,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2012,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2013,0.0
Bulgaria,Later stage venture,Percentage of GDP,2013,0.0
Bulgaria,Later stage venture,Percentage of GDP,2016,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2017,0.0
Bulgaria,Later stage venture,Percentage of GDP,2017,0.0
Bulgaria,Later stage venture,Percentage of GDP,2018,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2018,0.0
